City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Jurupa Valley,99706,260,6,5,,91,158,2875,443,1579,838,15
Kensington,5329,1,0,0,,0,1,86,21,52,13,0
Kerman,14595,33,0,0,,6,27,394,68,296,30,0
King City,13755,61,2,8,,8,43,215,48,110,55,2
Kingsburg,11813,28,0,2,,8,18,340,97,165,78,0
La Canada Flintridge,20763,20,1,7,,6,6,287,106,169,12,0
Lafayette,25886,14,0,2,,5,7,523,49,433,41,0
Laguna Beach,23485,76,0,8,,12,56,561,78,420,60,3
Laguna Hills,31139,43,0,8,,13,22,523,80,396,46,1
Laguna Niguel,66035,49,2,6,,12,29,692,113,529,49,1
Laguna Woods3,16501,5,0,0,,2,3,141,17,117,7,0
La Habra,62488,104,0,7,,37,60,1282,189,928,162,3
La Habra Heights,5500,2,0,1,,0,1,55,20,32,3,0
Lake Elsinore,61871,137,0,8,,49,80,1911,253,1352,304,2
Lake Forest,80798,109,0,15,,23,71,910,134,684,90,2
Lakeport,4781,29,0,3,,9,17,238,39,179,20,0
Lake Shastina3,2529,1,0,0,,0,1,10,0,8,1,1
Lakewood,82047,222,3,15,,93,111,2202,378,1515,305,4
La Mesa,59676,196,3,15,,63,115,1744,276,1234,230,4
La Mirada,49685,74,0,9,,22,43,859,158,576,123,2
Lancaster,162095,1005,7,82,,326,590,3888,1342,1982,494,70
La Palma,16001,13,0,0,,7,6,304,113,170,21,0
La Puente,40958,119,0,7,,35,77,484,91,265,127,1
La Quinta,40554,80,1,6,,24,49,1224,181,972,67,4
La Verne3,32595,68,0,29,,18,21,939,187,693,48,11
Lawndale,33605,196,0,9,,62,125,504,114,284,104,2
Lemon Grove,26798,161,0,12,,53,96,496,51,351,92,2
Lemoore3,25348,118,0,17,,19,82,712,160,440,100,12
Lincoln,46663,28,0,6,,10,12,647,127,455,64,1
Lindsay3,13579,59,1,4,,14,40,285,63,146,71,5
Livermore,88316,233,3,20,,43,167,2141,255,1596,262,28
Livingston,14007,58,1,6,,11,40,362,79,204,77,2
Lodi3,64369,377,4,12,,94,267,2101,410,1243,440,8
Loma Linda,23985,27,0,3,,7,17,739,184,396,158,1
Lomita,20893,67,1,5,,17,44,403,80,277,44,2
Long Beach,476318,2766,36,177,,1054,1499,14406,3094,8413,2830,69
Los Alamitos3,11789,18,1,3,,10,4,226,52,121,51,2
Los Altos,30598,6,0,4,,1,1,333,120,194,19,0
Los Altos Hills,8485,1,0,0,,1,0,62,24,32,4,2
Los Angeles,3962726,25156,282,2209,,8952,13713,94634,16160,61191,16152,1131
Los Banos,37395,131,1,4,,38,88,1367,307,805,245,10
Los Gatos,31044,31,0,7,,14,10,706,149,494,58,5
Lynwood,72398,414,5,18,,149,242,1435,293,484,642,16
Madera,64127,450,3,18,,94,335,1926,462,1135,325,4
Malibu,13033,25,0,8,,7,10,361,84,255,21,1
Mammoth Lakes,7955,14,0,2,,1,11,143,25,107,11,0
Manhattan Beach,36065,70,0,8,,36,26,949,206,697,44,2
Manteca,75019,213,5,10,,82,116,2469,420,1624,405,20
Marina,21094,51,3,5,,21,22,546,84,391,68,3
Martinez,37923,51,0,4,,22,25,954,164,570,220,0
Marysville,12264,85,2,7,,23,53,486,78,311,93,4
Maywood,28070,73,2,6,,18,47,361,39,175,144,3
McFarland,13848,61,1,10,,6,44,285,71,103,101,10
Menifee,87051,125,2,0,,45,78,1799,290,1201,308,0
Mendota,11470,90,2,2,,9,77,314,62,132,113,7
Menlo Park3,33619,32,0,9,,6,17,617,143,448,25,1
Merced,82409,763,11,31,,151,570,2841,588,1608,564,81
Mill Valley,14527,4,0,0,,2,2,222,47,159,15,1
Milpitas,75520,77,1,9,,37,30,1977,277,1424,265,11
Mission Viejo,98217,86,1,14,,32,39,1097,155,859,76,7
Modesto,210794,2025,25,85,,488,1427,10189,1639,6749,1735,66
Monrovia,37618,47,2,4,,19,22,705,103,504,95,3
Montague3,1385,1,0,0,,0,1,19,6,12,1,0
Montclair,38899,221,4,20,,76,121,1751,254,1105,381,11
Montebello,64280,158,3,6,,73,76,1702,582,597,503,20
Monterey,28491,136,3,13,,42,78,1003,167,755,76,5
Monterey Park,61750,103,0,6,,57,40,1352,378,728,243,3
Monte Sereno,3582,0,0,0,,0,0,41,10,28,3,0
Moorpark,35804,35,0,4,,7,24,337,78,233,25,1
Moraga,17284,7,0,1,,2,4,203,41,136,25,1
Moreno Valley,205182,643,6,33,,275,329,6676,1190,4312,1161,13
Morgan Hill3,43154,71,1,4,,16,50,733,100,520,110,3
Morro Bay,10620,46,0,3,,4,39,276,54,211,11,0
Mountain View,80705,164,0,10,,31,123,2037,327,1561,142,7
Mount Shasta3,3258,4,0,0,,2,2,51,6,40,4,1
Murrieta,109495,69,0,6,,30,33,1712,287,1173,240,12
Napa,80749,298,0,38,,30,230,1418,355,905,152,6
National City,60768,327,2,16,,142,167,1463,183,942,324,14
Needles,4998,25,1,2,,4,18,190,80,82,23,5
Nevada City3,3020,14,0,2,,2,10,112,27,68,14,3
Newark,45258,101,1,8,,54,38,1176,287,701,180,8
Newman,10881,16,0,2,,2,12,147,29,86,32,0
Newport Beach,87749,112,2,20,,24,66,2185,394,1652,135,4
Norco,26925,49,0,4,,19,26,709,135,505,69,0
Norwalk,107470,400,9,33,,131,227,1916,395,1087,428,6
